id,pavilion,Latitude,Longitute,area,admission,exhibit_price_1,exhibit_price_2,hours,exhibit 1,exhibit 2,exhibit 3,official_guide_ref,note 1,note 2,note 3,note 4,note 5,note 6,note 7,note 8,note 9,note 10
1,Aerial Tower Ride and Waffle Restaurant,40.740652,-73.839874,Lake Amusement,$1.00 adults; $0.50 children under 12,,,10am - 2am,,,,"40, 228, 301",Four fancy gondolas carry riders to the top of a 120-foot tower: special Belgain waffles are served in the restaurant below.,,,,,,,,,
2,African Pavilion,40.745582,-73.843836,International,$1.00 adults; $0.50 children under 12,,,10am - 10pm,"Lions at the Gate: Inside the pavilion's main gate, cages of lions, leopards and other animals line the path to the movie theater. Around the theater, an exhibit area display samples of Africa's natural resources, including copper, tin, rubber and diamonds.","Africa on Film: Near the theater entrance, photographs, flags and a huge map provide a brief introuction to the participating nations. Inside, a 10-minute film presents a geographical survey of Africa's scenic winders and industrial development.","Antelopes and Artifacts: Huts sheltering antelopes, monkeys, zebras, giraffes and exotic birds are interspersed among exhibit and sales huts which display works of art in gold, silver and ivory from each of the participating naions: Burundi, Cameroun, Central African Republic, Chad, Republic of Congo, Congo, Ivory Coast, Dahomey, Ethiopia, Gabon, Chana, Kenya, LIberia, Mauritania, Niger, Nigeria, Uganda, Upper Volta, Malagasy Republic, Somalia, Rwanda, Senegal, Tanganyika, Togo.","34, 157, 158, 301","Dancers and Drummers: In the pavilion's open-air entertainment area, tall, graceful Watusi men from Rwanda perform spirited dances and demonstrate their prowess at high-jumping. Burundi drummers and West African dancers also perform.",,,,,,,,,
3,Alaska,40.743458,-73.845574,Federal and State,$0.00,,,10am - 10pm,"Fish and Dams: Exhibits show Eskimo and Indian life, the Alaskan fishing industry and the state's booming development - especially a new coastal ferry system and plans for the largest dam in the free world. There is an exhibit by Alaskan artists, and wild life is represented by stuffed specimens of bears, a walrus head, a 74-pound salmon, plus moose, caribou and others.","Living in the North: In the igloo's second story is a theater with a 32-square-foot topographical model of Alaska. During a narration, portions of the model light up, and the dome itself becomes a planetarium portraying the skies over Alaska from twilight to dawn. Slides depict the state's industries and people at work. The show ends with a colorful display of simulated northern lights.","Eskimo Village: In the area behind the pavilion Indian and Eskimo dance groups perform, and craftsmen carve in wood and whalebone. Some of their handiwork is for sale. ","176, 194, 301","In a pavilion shaped like an igloo, a model of what will be America's biggest dam shares space with industrial displays, Eskimo and Indian art, and entertainment",,,,,,,,,
4,All-State Properties and Macy's,40.749321,-73.842265,Industrial,$0.00,,,10am - 10pm,,,,"60, 301","Two low-cost, space-saving houses are on exhibition in the joint display.",,,,,,,,,
5,American Express,40.750728,-73.84351,Industrial,$0.00,,,10am - 10pm,"Around the Fair in Four Minutes: The official model of the World's Fair measures over 54 by 21 feet. As exhibits are pointed out, the model's lighting goes from day to night to day again, and rides, subways and railroads become animated.","Touches of History: Memorabilia of American Express and its subsidiary, the Wells Fargo Company, date from the days of the Wild West.","Finance Section: Multlingual attendants sell money orders and cash personal checks if the visitor has an American Express Credit Card, or on the basis of telegraphed clearance from his hometown bank.","60, 114, 301","Information Section: Clerks make air and travel reservation, and answer questions about the World's Fair.","One million dollars in real currency hang from a ""money tree""; there is also a model of the Fair.",,,,,,,,
6,American Indian Pavilion,40.741139,-73.841213,Lake Amusement,$1.00 adults; $0.50 children under 12,,,10am - 10pm,"Drumbeats and Dances: During the course of the Fair, the pavilion is being staffed on a rotating basis by members of more than 100 tribes from reservations through the country. Ceremonial dances, to the rhythm of drums and ancient chants, are performed at frequent intervals daily.",Artisans at Work: The Indians demonstrate the crafts for which their tribes are famous.,Powwow Area: The Indians also hold tribal meetings from time to time and give visiting children lessons in sign language.,"228, 231, 301",Ceremonial dances and tribal handicrafts are the chief attractions in this tepee-roofed village.,,,,,,,,,
7,American Interiors,40.751069,-73.837828,Industrial,$0.50 adults; $0.00 children under 12,,,10am - 10pm,"Regional Living: In the 14 furnished rooms, New York City is represented by a penthouse living room, Chicago by the dining room of a remodeled carriage house, and so on. Co-sponsors of the display are Du Pont and the American Institute of Interior Designers (OG, 81).","Prize-Winning Designs: Among the prize-winning pieces of furniture is a walnut cabinet, for high-fidelity equipment or storage use, which won first prize in the ""Design for Better Living"" contest sponsored in schools and colleges by the pavilion and the Find Woods Association. Also on display are 20 winning designs from the American Institute of Interior Designers' annual awards (OG, 81).",,"34, 60, 301","From furniture to fixtures, everything that goes into the home is on display in this pavilion.",,,,,,,,,
8,American-Israel Pavilion,40.744811,-73.841281,International,$0.75 adults; $0.25 children 6 - 12; $0.00 children under 6,,,10am - 10pm,"Birth of a Nation: The 15-20-minute walking tour begins in a city of Biblical times. The visitor finds himself strolling down a narrow stone street; he sees women milling grain, scribes at work and the Temple of Solomon in the background. A second scene, called ""Dispersion,"" shows Jews scattered around the world, making their contributions at different periods to the cultures of Europe, Asia and Africa. A display of the Ten Commandments in various languages indicates the special impact of their moral traditions. The tour ends in the streets of Haifa of 1964. Displays contrast the new and old; models of an ancient Mediterranean barge and 20th Century Israeli ocean liner are side by side. Israel's scientific and social progress are also on display.","Shopping Mall: Shops are staffed by young Israeli students. On sale are handwrought jewelry, ceremonial religious objects and hand-embroidered blouses.",,"122, 152, 154, 301","Scenes and artifacts portraying 4,000 years of Jewish history line a spiraling walkway.",,,,,,,,,
9,Ampitheatre,40.739597,-73.841413,Lake Amusement,$1.00: unreserved seats; $2.25: reserved section; $3.50: special reserved seats,,,10am - 10pm,,,,"228, 301","A spectacular stage-and-water extravaganza features a cast of some 250 dancers, divers and divas.",,,,,,,,,
10,Argentina,40.74815,-73.844642,International,$0.00,,,10am - 10pm,,,,"34, 122, 301","The productivity of this country's pampas, its mines and its people is shown in pictures, displays and art.",,,,,,,,,
11,Austria,40.747126,-73.841058,International,$0.00,,,10am - 10pm,"Homes for the Homeless: Pictures show the growth of the SOS Children's Villages, established in Austria in 1949. They now number some 75 all over the world. The exhibit reflects the care and education the children receive in their communities.","Steel and Petit Point: Among the industrial exhibits is a detailed model of a steel plant featuring a new process for producing high-grade steel cheaply. The products displayed include ski equipment, toys and petit point handbags.",,"122, 140, 301","Pictures tell the story of the 1964 Winter Olympics, industry and the SOS Villages for homeless children.",,,,,,,,,
12,Auto Thrill Show,40.741022,-73.848867,Transportation,$1.00,,,10am - 10pm,,,,"200, 301",Daredevil drivers perform stunts.,,,,,,,,,
13,Avis Antique Car Ride,40.746594,-73.849598,Transportation,$0.53 adults; $0.38 children under 12,,,10am - 10pm,,,,"200, 301","This is a drive-yourself ride, in open-topped scale models of old autos, on a landscaped track.",,,,,,,,,
14,Belguim,40.743379,-73.841305,International,"$1.25 adults; $0.60 children for the village. Prices vary for the church, the City Hall, the merry-go-round and the museum",,,10am - 10pm,"Colored Sands: Within the church, which is an exact replica of the beautiful Gothic Church of St. Nicholas in Antwerp, a number of major masterpieces have been copied in sand painting, an art form in which the Flemish specialize.","Gille Dancers: Four times a day gaudily dressed clowns wearing wooden shoes, ostrich-feather headdresses and bells dance through the streets, accompanied by drums and brass instruments. The Gilles hark back to 1540, when Belgium was ruled by Spain, and the conquistadors' triumph over Peruvian Indians was celebrated at Mardi Gras.","Bastogne ""Nuts"" Museum: Relics oF the Battle of the Bulge plus various weapons of World War II are on display in a museum named for the classic comment of U.S. Major General Anthony C. McAuliffe when he was asked to surrender Bastogne.","34, 122, 145, 146, 301",Assorted wonders glitter in a walked community.,,,,,,,,,
